Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:25:15.943000,VER,1,86.163,2.0,1.0,,,28.274,29.543,28.346,0 days 01:24:18.057000,0 days 01:24:47.600000,0 days 01:25:15.946000,309.0,309.0,307.0,305.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:23:49.780000,2023-09-03 13:24:50.825,1,2.0,False,,False,True
0 days 01:26:41.645000,VER,1,85.702,3.0,1.0,,,28.097,29.32,28.285,0 days 01:25:44.043000,0 days 01:26:13.363000,0 days 01:26:41.648000,310.0,320.0,308.0,309.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:25:15.943000,2023-09-03 13:26:16.988,1,2.0,False,,False,True
0 days 01:28:07.695000,VER,1,86.05,4.0,1.0,,,28.145,29.474,28.431,0 days 01:27:09.793000,0 days 01:27:39.267000,0 days 01:28:07.698000,311.0,320.0,309.0,318.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:26:41.645000,2023-09-03 13:27:42.690,1,2.0,False,,False,True
0 days 01:29:33.871000,VER,1,86.176,5.0,1.0,,,28.155,29.514,28.507,0 days 01:28:35.853000,0 days 01:29:05.367000,0 days 01:29:33.874000,311.0,321.0,310.0,317.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:28:07.695000,2023-09-03 13:29:08.740,1,2.0,False,,False,True
0 days 01:31:00.708000,VER,1,86.837,6.0,1.0,,,28.7,29.662,28.475,0 days 01:30:02.574000,0 days 01:30:32.236000,0 days 01:31:00.711000,310.0,319.0,309.0,347.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:29:33.871000,2023-09-03 13:30:34.916,1,2.0,False,,False,True
0 days 01:32:27.076000,VER,1,86.368,7.0,1.0,,,28.166,29.751,28.451,0 days 01:31:28.877000,0 days 01:31:58.628000,0 days 01:32:27.079000,309.0,318.0,309.0,320.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:31:00.708000,2023-09-03 13:32:01.753,1,2.0,False,,False,True
0 days 01:33:53.066000,VER,1,85.99,8.0,1.0,,,28.075,29.432,28.483,0 days 01:32:55.154000,0 days 01:33:24.586000,0 days 01:33:53.069000,312.0,322.0,310.0,321.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:32:27.076000,2023-09-03 13:33:28.121,1,2.0,False,,False,True
0 days 01:35:19.671000,VER,1,86.605,9.0,1.0,,,28.149,29.927,28.529,0 days 01:34:21.218000,0 days 01:34:51.145000,0 days 01:35:19.674000,312.0,319.0,309.0,344.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:33:53.066000,2023-09-03 13:34:54.111,1,2.0,False,,False,True
0 days 01:36:46.274000,VER,1,86.603,10.0,1.0,,,28.315,29.78,28.508,0 days 01:35:47.989000,0 days 01:36:17.769000,0 days 01:36:46.277000,312.0,319.0,309.0,322.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:35:19.671000,2023-09-03 13:36:20.716,1,2.0,False,,False,True
0 days 01:38:12.917000,VER,1,86.643,11.0,1.0,,,28.233,29.893,28.517,0 days 01:37:14.510000,0 days 01:37:44.403000,0 days 01:38:12.920000,311.0,322.0,308.0,319.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:36:46.274000,2023-09-03 13:37:47.319,1,2.0,False,,False,True
0 days 01:39:39.359000,VER,1,86.442,12.0,1.0,,,28.179,29.813,28.45,0 days 01:38:41.099000,0 days 01:39:10.912000,0 days 01:39:39.362000,311.0,319.0,310.0,322.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:38:12.917000,2023-09-03 13:39:13.962,1,2.0,False,,False,True
0 days 01:41:06.025000,VER,1,86.666,13.0,1.0,,,28.254,29.907,28.505,0 days 01:40:07.616000,0 days 01:40:37.523000,0 days 01:41:06.028000,313.0,322.0,309.0,322.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:39:39.359000,2023-09-03 13:40:40.404,1,2.0,False,,False,True
0 days 01:42:33.053000,VER,1,87.028,14.0,1.0,,,28.223,30.28,28.525,0 days 01:41:34.251000,0 days 01:42:04.531000,0 days 01:42:33.056000,314.0,320.0,310.0,343.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:41:06.025000,2023-09-03 13:42:07.070,1,2.0,False,,False,True
0 days 01:43:59.835000,VER,1,86.782,15.0,1.0,,,28.137,30.444,28.201,0 days 01:43:01.193000,0 days 01:43:31.637000,0 days 01:43:59.838000,320.0,306.0,306.0,345.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:42:33.053000,2023-09-03 13:43:34.098,1,1.0,False,,False,True
0 days 01:45:26.553000,VER,1,86.718,16.0,1.0,,,28.45,29.91,28.358,0 days 01:44:28.288000,0 days 01:44:58.198000,0 days 01:45:26.556000,307.0,306.0,307.0,308.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:43:59.835000,2023-09-03 13:45:00.880,1,1.0,False,,False,True
0 days 01:46:53.286000,VER,1,86.733,17.0,1.0,,,28.348,29.889,28.496,0 days 01:45:54.904000,0 days 01:46:24.793000,0 days 01:46:53.289000,309.0,307.0,307.0,310.0,False,MEDIUM,17.0,True,Red Bull Racing,0 days 01:45:26.553000,2023-09-03 13:46:27.598,1,1.0,False,,False,True
0 days 01:48:19.559000,VER,1,86.273,18.0,1.0,,,28.247,29.668,28.358,0 days 01:47:21.536000,0 days 01:47:51.204000,0 days 01:48:19.562000,311.0,308.0,307.0,311.0,False,MEDIUM,18.0,True,Red Bull Racing,0 days 01:46:53.286000,2023-09-03 13:47:54.331,1,1.0,False,,False,True
0 days 01:49:45.997000,VER,1,86.438,19.0,1.0,,,28.368,29.832,28.238,0 days 01:48:47.930000,0 days 01:49:17.762000,0 days 01:49:46,311.0,311.0,307.0,310.0,False,MEDIUM,19.0,True,Red Bull Racing,0 days 01:48:19.559000,2023-09-03 13:49:20.604,1,1.0,False,,False,True
0 days 01:54:28.391000,VER,1,85.885,22.0,2.0,,,28.01,29.546,28.329,0 days 01:53:30.519000,0 days 01:54:00.065000,0 days 01:54:28.394000,313.0,315.0,308.0,322.0,False,HARD,2.0,True,Red Bull Racing,0 days 01:53:02.506000,2023-09-03 13:54:03.551,1,3.0,False,,False,True
0 days 01:55:54.550000,VER,1,86.159,23.0,2.0,,,28.131,29.638,28.39,0 days 01:54:56.525000,0 days 01:55:26.163000,0 days 01:55:54.553000,313.0,310.0,309.0,314.0,False,HARD,3.0,True,Red Bull Racing,0 days 01:54:28.391000,2023-09-03 13:55:29.436,1,2.0,False,,False,True
0 days 01:57:20.877000,VER,1,86.327,24.0,2.0,,,28.187,29.358,28.782,0 days 01:56:22.740000,0 days 01:56:52.098000,0 days 01:57:20.880000,314.0,318.0,316.0,312.0,False,HARD,4.0,True,Red Bull Racing,0 days 01:55:54.550000,2023-09-03 13:56:55.595,1,2.0,False,,False,True
0 days 01:58:46.791000,VER,1,85.914,25.0,2.0,,,28.052,29.542,28.32,0 days 01:57:48.932000,0 days 01:58:18.474000,0 days 01:58:46.794000,307.0,308.0,307.0,340.0,False,HARD,5.0,True,Red Bull Racing,0 days 01:57:20.877000,2023-09-03 13:58:21.922,1,1.0,False,,False,True
0 days 02:00:12.577000,VER,1,85.786,26.0,2.0,,,28.257,29.382,28.147,0 days 01:59:15.051000,0 days 01:59:44.433000,0 days 02:00:12.580000,308.0,309.0,307.0,311.0,False,HARD,6.0,True,Red Bull Racing,0 days 01:58:46.791000,2023-09-03 13:59:47.836,1,1.0,False,,False,True
0 days 02:01:38.078000,VER,1,85.501,27.0,2.0,,,28.117,29.266,28.118,0 days 02:00:40.697000,0 days 02:01:09.963000,0 days 02:01:38.081000,311.0,314.0,307.0,314.0,True,HARD,7.0,True,Red Bull Racing,0 days 02:00:12.577000,2023-09-03 14:01:13.622,1,1.0,False,,False,True
0 days 02:03:03.512000,VER,1,85.434,28.0,2.0,,,28.158,29.202,28.074,0 days 02:02:06.239000,0 days 02:02:35.441000,0 days 02:03:03.515000,311.0,312.0,307.0,314.0,True,HARD,8.0,True,Red Bull Racing,0 days 02:01:38.078000,2023-09-03 14:02:39.123,1,1.0,False,,False,True
0 days 02:04:28.983000,VER,1,85.471,29.0,2.0,,,28.149,29.369,27.953,0 days 02:03:31.664000,0 days 02:04:01.033000,0 days 02:04:28.986000,313.0,312.0,307.0,316.0,False,HARD,9.0,True,Red Bull Racing,0 days 02:03:03.512000,2023-09-03 14:04:04.557,1,1.0,False,,False,True
0 days 02:05:54.381000,VER,1,85.398,30.0,2.0,,,28.15,29.213,28.035,0 days 02:04:57.136000,0 days 02:05:26.349000,0 days 02:05:54.384000,313.0,312.0,307.0,313.0,True,HARD,10.0,True,Red Bull Racing,0 days 02:04:28.983000,2023-09-03 14:05:30.028,1,1.0,False,,False,True
0 days 02:07:19.883000,VER,1,85.502,31.0,2.0,,,28.161,29.37,27.971,0 days 02:06:22.545000,0 days 02:06:51.915000,0 days 02:07:19.886000,312.0,312.0,308.0,312.0,False,HARD,11.0,True,Red Bull Racing,0 days 02:05:54.381000,2023-09-03 14:06:55.426,1,1.0,False,,False,True
0 days 02:08:45.293000,VER,1,85.41,32.0,2.0,,,28.151,29.284,27.975,0 days 02:07:48.037000,0 days 02:08:17.321000,0 days 02:08:45.296000,311.0,312.0,308.0,312.0,False,HARD,12.0,True,Red Bull Racing,0 days 02:07:19.883000,2023-09-03 14:08:20.928,1,1.0,False,,False,True
0 days 02:10:10.533000,VER,1,85.24,33.0,2.0,,,28.057,29.201,27.982,0 days 02:09:13.353000,0 days 02:09:42.554000,0 days 02:10:10.536000,312.0,311.0,310.0,311.0,True,HARD,13.0,True,Red Bull Racing,0 days 02:08:45.293000,2023-09-03 14:09:46.338,1,1.0,False,,False,True
0 days 02:11:36.216000,VER,1,85.683,34.0,2.0,,,28.111,29.501,28.071,0 days 02:10:38.647000,0 days 02:11:08.148000,0 days 02:11:36.219000,311.0,313.0,310.0,313.0,False,HARD,14.0,True,Red Bull Racing,0 days 02:10:10.533000,2023-09-03 14:11:11.578,1,1.0,False,,False,True
0 days 02:13:02.031000,VER,1,85.815,35.0,2.0,,,28.179,29.472,28.164,0 days 02:12:04.398000,0 days 02:12:33.870000,0 days 02:13:02.034000,311.0,312.0,309.0,309.0,False,HARD,15.0,True,Red Bull Racing,0 days 02:11:36.216000,2023-09-03 14:12:37.261,1,1.0,False,,False,True
0 days 02:14:27.629000,VER,1,85.598,36.0,2.0,,,28.04,29.439,28.119,0 days 02:13:30.074000,0 days 02:13:59.513000,0 days 02:14:27.632000,311.0,312.0,308.0,311.0,False,HARD,16.0,True,Red Bull Racing,0 days 02:13:02.031000,2023-09-03 14:14:03.076,1,1.0,False,,False,True
0 days 02:15:53.312000,VER,1,85.683,37.0,2.0,,,28.074,29.485,28.124,0 days 02:14:55.706000,0 days 02:15:25.191000,0 days 02:15:53.315000,313.0,313.0,309.0,315.0,False,HARD,17.0,True,Red Bull Racing,0 days 02:14:27.629000,2023-09-03 14:15:28.674,1,1.0,False,,False,True
0 days 02:17:18.897000,VER,1,85.585,38.0,2.0,,,28.067,29.469,28.049,0 days 02:16:21.382000,0 days 02:16:50.851000,0 days 02:17:18.900000,314.0,315.0,310.0,312.0,False,HARD,18.0,True,Red Bull Racing,0 days 02:15:53.312000,2023-09-03 14:16:54.357,1,1.0,False,,False,True
0 days 02:18:44.383000,VER,1,85.486,39.0,2.0,,,28.053,29.353,28.08,0 days 02:17:46.953000,0 days 02:18:16.306000,0 days 02:18:44.386000,315.0,315.0,311.0,314.0,False,HARD,19.0,True,Red Bull Racing,0 days 02:17:18.897000,2023-09-03 14:18:19.942,1,1.0,False,,False,True
0 days 02:20:10.284000,VER,1,85.901,40.0,2.0,,,28.185,29.481,28.235,0 days 02:19:12.571000,0 days 02:19:42.052000,0 days 02:20:10.287000,315.0,315.0,310.0,309.0,False,HARD,20.0,True,Red Bull Racing,0 days 02:18:44.383000,2023-09-03 14:19:45.428,1,1.0,False,,False,True
0 days 02:21:36.063000,VER,1,85.779,41.0,2.0,,,28.079,29.543,28.157,0 days 02:20:38.366000,0 days 02:21:07.909000,0 days 02:21:36.066000,313.0,313.0,310.0,312.0,False,HARD,21.0,True,Red Bull Racing,0 days 02:20:10.284000,2023-09-03 14:21:11.329,1,1.0,False,,False,True
0 days 02:23:01.975000,VER,1,85.912,42.0,2.0,,,28.057,29.562,28.293,0 days 02:22:04.123000,0 days 02:22:33.685000,0 days 02:23:01.978000,314.0,316.0,309.0,313.0,False,HARD,22.0,True,Red Bull Racing,0 days 02:21:36.063000,2023-09-03 14:22:37.108,1,1.0,False,,False,True
0 days 02:24:27.969000,VER,1,85.994,43.0,2.0,,,28.178,29.666,28.15,0 days 02:23:30.156000,0 days 02:23:59.822000,0 days 02:24:27.972000,315.0,316.0,311.0,309.0,False,HARD,23.0,True,Red Bull Racing,0 days 02:23:01.975000,2023-09-03 14:24:03.020,1,1.0,False,,False,True
0 days 02:25:53.720000,VER,1,85.751,44.0,2.0,,,28.03,29.503,28.218,0 days 02:24:56.002000,0 days 02:25:25.505000,0 days 02:25:53.723000,316.0,318.0,310.0,311.0,False,HARD,24.0,True,Red Bull Racing,0 days 02:24:27.969000,2023-09-03 14:25:29.014,1,1.0,False,,False,True
0 days 02:27:19.636000,VER,1,85.916,45.0,2.0,,,28.045,29.693,28.178,0 days 02:26:21.768000,0 days 02:26:51.461000,0 days 02:27:19.639000,317.0,316.0,311.0,305.0,False,HARD,25.0,True,Red Bull Racing,0 days 02:25:53.720000,2023-09-03 14:26:54.765,1,1.0,False,,False,True
0 days 02:28:45.821000,VER,1,86.185,46.0,2.0,,,28.067,29.921,28.197,0 days 02:27:47.706000,0 days 02:28:17.627000,0 days 02:28:45.824000,316.0,317.0,312.0,308.0,False,HARD,26.0,True,Red Bull Racing,0 days 02:27:19.636000,2023-09-03 14:28:20.681,1,1.0,False,,False,True
0 days 02:30:11.958000,VER,1,86.137,47.0,2.0,,,28.058,29.565,28.514,0 days 02:29:13.882000,0 days 02:29:43.447000,0 days 02:30:11.961000,316.0,316.0,312.0,306.0,False,HARD,27.0,True,Red Bull Racing,0 days 02:28:45.821000,2023-09-03 14:29:46.866,1,1.0,False,,False,True
0 days 02:31:39.193000,VER,1,87.235,48.0,2.0,,,28.459,30.06,28.716,0 days 02:30:40.420000,0 days 02:31:10.480000,0 days 02:31:39.196000,305.0,312.0,310.0,294.0,False,HARD,28.0,True,Red Bull Racing,0 days 02:30:11.958000,2023-09-03 14:31:13.003,1,1.0,False,,False,True
0 days 02:33:07.100000,VER,1,87.907,49.0,2.0,,,28.567,30.249,29.091,0 days 02:32:07.763000,0 days 02:32:38.012000,0 days 02:33:07.103000,291.0,306.0,310.0,290.0,False,HARD,29.0,True,Red Bull Racing,0 days 02:31:39.193000,2023-09-03 14:32:40.238,1,1.0,False,,False,True
0 days 02:34:35.493000,VER,1,88.393,50.0,2.0,,,28.738,30.474,29.181,0 days 02:33:35.841000,0 days 02:34:06.315000,0 days 02:34:35.496000,300.0,304.0,310.0,283.0,False,HARD,30.0,True,Red Bull Racing,0 days 02:33:07.100000,2023-09-03 14:34:08.145,1,1.0,False,,False,True
0 days 02:36:03.018000,VER,1,87.525,51.0,2.0,,,28.415,30.353,28.757,0 days 02:35:03.911000,0 days 02:35:34.264000,0 days 02:36:03.021000,298.0,309.0,311.0,293.0,False,HARD,31.0,True,Red Bull Racing,0 days 02:34:35.493000,2023-09-03 14:35:36.538,1,1.0,False,,False,True
0 days 01:25:26.545000,GAS,10,88.696,2.0,1.0,,,28.782,30.575,29.339,0 days 01:24:26.641000,0 days 01:24:57.216000,0 days 01:25:26.555000,310.0,309.0,306.0,320.0,True,MEDIUM,2.0,True,Alpine,0 days 01:23:57.849000,2023-09-03 13:24:58.894,1,17.0,False,,False,True
0 days 01:26:54.461000,GAS,10,87.916,3.0,1.0,,,28.714,30.06,29.142,0 days 01:25:55.269000,0 days 01:26:25.329000,0 days 01:26:54.471000,310.0,326.0,305.0,320.0,True,MEDIUM,3.0,True,Alpine,0 days 01:25:26.545000,2023-09-03 13:26:27.590,1,17.0,False,,False,True
0 days 01:28:21.933000,GAS,10,87.472,4.0,1.0,,,28.432,30.029,29.011,0 days 01:27:22.903000,0 days 01:27:52.932000,0 days 01:28:21.943000,310.0,326.0,308.0,325.0,True,MEDIUM,4.0,True,Alpine,0 days 01:26:54.461000,2023-09-03 13:27:55.506,1,17.0,False,,False,True
0 days 01:29:49.627000,GAS,10,87.694,5.0,1.0,,,28.291,30.155,29.248,0 days 01:28:50.234000,0 days 01:29:20.389000,0 days 01:29:49.637000,308.0,327.0,305.0,347.0,False,MEDIUM,5.0,True,Alpine,0 days 01:28:21.933000,2023-09-03 13:29:22.978,1,17.0,False,,False,True
0 days 01:31:16.951000,GAS,10,87.324,6.0,1.0,,,28.241,30.047,29.036,0 days 01:30:17.878000,0 days 01:30:47.925000,0 days 01:31:16.961000,308.0,324.0,305.0,331.0,True,MEDIUM,6.0,True,Alpine,0 days 01:29:49.627000,2023-09-03 13:30:50.672,1,17.0,False,,False,True
0 days 01:32:44.161000,GAS,10,87.21,7.0,1.0,,,28.18,29.932,29.098,0 days 01:31:45.141000,0 days 01:32:15.073000,0 days 01:32:44.171000,307.0,325.0,305.0,328.0,True,MEDIUM,7.0,True,Alpine,0 days 01:31:16.951000,2023-09-03 13:32:17.996,1,17.0,False,,False,True
0 days 01:34:11.401000,GAS,10,87.24,8.0,1.0,,,28.0,30.157,29.083,0 days 01:33:12.171000,0 days 01:33:42.328000,0 days 01:34:11.411000,310.0,322.0,305.0,334.0,False,MEDIUM,8.0,True,Alpine,0 days 01:32:44.161000,2023-09-03 13:33:45.206,1,17.0,False,,False,True
0 days 01:35:38.767000,GAS,10,87.366,9.0,1.0,,,28.124,29.976,29.266,0 days 01:34:39.535000,0 days 01:35:09.511000,0 days 01:35:38.777000,309.0,325.0,305.0,330.0,False,MEDIUM,9.0,True,Alpine,0 days 01:34:11.401000,2023-09-03 13:35:12.446,1,17.0,False,,False,True
0 days 01:40:28.402000,GAS,10,87.431,12.0,2.0,,,28.524,29.851,29.056,0 days 01:39:29.505000,0 days 01:39:59.356000,0 days 01:40:28.412000,301.0,299.0,302.0,306.0,False,HARD,5.0,False,Alpine,0 days 01:39:00.971000,2023-09-03 13:40:02.016,1,19.0,False,,False,True
0 days 01:41:55.770000,GAS,10,87.368,13.0,2.0,,,28.44,29.892,29.036,0 days 01:40:56.852000,0 days 01:41:26.744000,0 days 01:41:55.780000,303.0,301.0,302.0,309.0,False,HARD,6.0,False,Alpine,0 days 01:40:28.402000,2023-09-03 13:41:29.447,1,18.0,False,,False,True
0 days 01:43:23.118000,GAS,10,87.348,14.0,2.0,,,28.394,30.051,28.903,0 days 01:42:24.174000,0 days 01:42:54.225000,0 days 01:43:23.128000,306.0,304.0,302.0,310.0,False,HARD,7.0,False,Alpine,0 days 01:41:55.770000,2023-09-03 13:42:56.815,1,18.0,False,,False,True
0 days 01:44:50.481000,GAS,10,87.363,15.0,2.0,,,28.462,30.093,28.808,0 days 01:43:51.590000,0 days 01:44:21.683000,0 days 01:44:50.491000,308.0,309.0,306.0,311.0,False,HARD,8.0,False,Alpine,0 days 01:43:23.118000,2023-09-03 13:44:24.163,1,18.0,False,,False,True
0 days 01:46:17.569000,GAS,10,87.088,16.0,2.0,,,28.289,30.067,28.732,0 days 01:45:18.780000,0 days 01:45:48.847000,0 days 01:46:17.579000,308.0,305.0,306.0,313.0,True,HARD,9.0,False,Alpine,0 days 01:44:50.481000,2023-09-03 13:45:51.526,1,18.0,False,,False,True
0 days 01:47:44.645000,GAS,10,87.076,17.0,2.0,,,28.286,29.953,28.837,0 days 01:46:45.865000,0 days 01:47:15.818000,0 days 01:47:44.655000,307.0,306.0,306.0,314.0,True,HARD,10.0,False,Alpine,0 days 01:46:17.569000,2023-09-03 13:47:18.614,1,18.0,False,,False,True
0 days 01:49:11.698000,GAS,10,87.053,18.0,2.0,,,28.315,30.045,28.693,0 days 01:48:12.970000,0 days 01:48:43.015000,0 days 01:49:11.708000,306.0,305.0,305.0,314.0,True,HARD,11.0,False,Alpine,0 days 01:47:44.645000,2023-09-03 13:48:45.690,1,18.0,False,,False,True
0 days 01:50:38.834000,GAS,10,87.136,19.0,2.0,,,28.422,30.088,28.626,0 days 01:49:40.130000,0 days 01:50:10.218000,0 days 01:50:38.844000,305.0,306.0,306.0,314.0,False,HARD,12.0,False,Alpine,0 days 01:49:11.698000,2023-09-03 13:50:12.743,1,18.0,False,,False,True
0 days 01:52:05.869000,GAS,10,87.035,20.0,2.0,,,28.17,30.107,28.758,0 days 01:51:07.014000,0 days 01:51:37.121000,0 days 01:52:05.879000,308.0,318.0,306.0,326.0,True,HARD,13.0,False,Alpine,0 days 01:50:38.834000,2023-09-03 13:51:39.879,1,18.0,False,,False,True
0 days 01:53:33.575000,GAS,10,87.706,21.0,2.0,,,28.31,30.354,29.042,0 days 01:52:34.189000,0 days 01:53:04.543000,0 days 01:53:33.585000,306.0,306.0,305.0,324.0,False,HARD,14.0,False,Alpine,0 days 01:52:05.869000,2023-09-03 13:53:06.914,1,17.0,False,,False,True
0 days 01:55:00.794000,GAS,10,87.219,22.0,2.0,,,28.315,30.023,28.881,0 days 01:54:01.900000,0 days 01:54:31.923000,0 days 01:55:00.804000,306.0,307.0,305.0,312.0,False,HARD,15.0,False,Alpine,0 days 01:53:33.575000,2023-09-03 13:54:34.620,1,17.0,False,,False,True
0 days 01:56:28.248000,GAS,10,87.454,23.0,2.0,,,28.367,30.178,28.909,0 days 01:55:29.171000,0 days 01:55:59.349000,0 days 01:56:28.258000,306.0,306.0,305.0,312.0,False,HARD,16.0,False,Alpine,0 days 01:55:00.794000,2023-09-03 13:56:01.839,1,17.0,False,,False,True
0 days 01:57:55.308000,GAS,10,87.06,24.0,2.0,,,28.144,30.16,28.756,0 days 01:56:56.402000,0 days 01:57:26.562000,0 days 01:57:55.318000,306.0,307.0,306.0,315.0,False,HARD,17.0,False,Alpine,0 days 01:56:28.248000,2023-09-03 13:57:29.293,1,17.0,False,,False,True
0 days 01:59:22.531000,GAS,10,87.223,25.0,2.0,,,28.176,30.119,28.928,0 days 01:58:23.494000,0 days 01:58:53.613000,0 days 01:59:22.541000,306.0,307.0,305.0,315.0,False,HARD,18.0,False,Alpine,0 days 01:57:55.308000,2023-09-03 13:58:56.353,1,16.0,False,,False,True
0 days 02:00:50.121000,GAS,10,87.59,26.0,2.0,,,28.496,30.15,28.944,0 days 01:59:51.037000,0 days 02:00:21.187000,0 days 02:00:50.131000,306.0,308.0,304.0,315.0,False,HARD,19.0,False,Alpine,0 days 01:59:22.531000,2023-09-03 14:00:23.576,1,15.0,False,,False,True
0 days 02:02:17.310000,GAS,10,87.189,27.0,2.0,,,28.305,30.124,28.76,0 days 02:01:18.436000,0 days 02:01:48.560000,0 days 02:02:17.320000,306.0,308.0,303.0,315.0,False,HARD,20.0,False,Alpine,0 days 02:00:50.121000,2023-09-03 14:01:51.166,1,15.0,False,,False,True
0 days 02:03:44.831000,GAS,10,87.521,28.0,2.0,,,28.314,30.209,28.998,0 days 02:02:45.634000,0 days 02:03:15.843000,0 days 02:03:44.841000,308.0,307.0,304.0,315.0,False,HARD,21.0,False,Alpine,0 days 02:02:17.310000,2023-09-03 14:03:18.355,1,15.0,False,,False,True
0 days 02:05:12.214000,GAS,10,87.383,29.0,2.0,,,28.372,30.15,28.861,0 days 02:04:13.213000,0 days 02:04:43.363000,0 days 02:05:12.224000,309.0,307.0,303.0,315.0,False,HARD,22.0,False,Alpine,0 days 02:03:44.831000,2023-09-03 14:04:45.876,1,15.0,False,,False,True
0 days 02:06:39.872000,GAS,10,87.658,30.0,2.0,,,28.399,30.299,28.96,0 days 02:05:40.623000,0 days 02:06:10.922000,0 days 02:06:39.882000,308.0,307.0,304.0,314.0,False,HARD,23.0,False,Alpine,0 days 02:05:12.214000,2023-09-03 14:06:13.259,1,15.0,False,,False,True
0 days 02:11:25.235000,GAS,10,86.439,33.0,3.0,,,28.265,29.682,28.492,0 days 02:10:27.071000,0 days 02:10:56.753000,0 days 02:11:25.245000,303.0,303.0,305.0,310.0,True,MEDIUM,2.0,True,Alpine,0 days 02:09:58.796000,2023-09-03 14:10:59.841,1,19.0,False,,False,True
0 days 02:12:52.112000,GAS,10,86.877,34.0,3.0,,,28.208,29.857,28.812,0 days 02:11:53.453000,0 days 02:12:23.310000,0 days 02:12:52.122000,305.0,306.0,305.0,309.0,False,MEDIUM,3.0,True,Alpine,0 days 02:11:25.235000,2023-09-03 14:12:26.280,1,18.0,False,,False,True
0 days 02:14:19.015000,GAS,10,86.903,35.0,3.0,,,28.318,29.75,28.835,0 days 02:13:20.440000,0 days 02:13:50.190000,0 days 02:14:19.025000,304.0,304.0,303.0,311.0,False,MEDIUM,4.0,True,Alpine,0 days 02:12:52.112000,2023-09-03 14:13:53.157,1,18.0,False,,False,True
0 days 02:15:45.812000,GAS,10,86.797,36.0,3.0,,,28.373,29.719,28.705,0 days 02:14:47.398000,0 days 02:15:17.117000,0 days 02:15:45.822000,305.0,306.0,305.0,313.0,False,MEDIUM,5.0,True,Alpine,0 days 02:14:19.015000,2023-09-03 14:15:20.060,1,18.0,False,,False,True
0 days 02:17:12.311000,GAS,10,86.499,37.0,3.0,,,28.27,29.768,28.461,0 days 02:16:14.092000,0 days 02:16:43.860000,0 days 02:17:12.321000,305.0,306.0,307.0,312.0,False,MEDIUM,6.0,True,Alpine,0 days 02:15:45.812000,2023-09-03 14:16:46.857,1,18.0,False,,False,True
0 days 02:18:38.668000,GAS,10,86.357,38.0,3.0,,,28.251,29.614,28.492,0 days 02:17:40.572000,0 days 02:18:10.186000,0 days 02:18:38.678000,307.0,307.0,306.0,314.0,True,MEDIUM,7.0,True,Alpine,0 days 02:17:12.311000,2023-09-03 14:18:13.356,1,18.0,False,,False,True
0 days 02:20:05.404000,GAS,10,86.736,39.0,3.0,,,28.411,29.667,28.658,0 days 02:19:07.089000,0 days 02:19:36.756000,0 days 02:20:05.414000,306.0,307.0,305.0,312.0,False,MEDIUM,8.0,True,Alpine,0 days 02:18:38.668000,2023-09-03 14:19:39.713,1,17.0,False,,False,True
0 days 02:21:31.952000,GAS,10,86.548,40.0,3.0,,,28.22,29.656,28.672,0 days 02:20:33.634000,0 days 02:21:03.290000,0 days 02:21:31.962000,306.0,306.0,305.0,313.0,False,MEDIUM,9.0,True,Alpine,0 days 02:20:05.404000,2023-09-03 14:21:06.449,1,16.0,False,,False,True
0 days 02:22:58.298000,GAS,10,86.346,41.0,3.0,,,28.298,29.528,28.52,0 days 02:22:00.260000,0 days 02:22:29.788000,0 days 02:22:58.308000,306.0,308.0,305.0,312.0,True,MEDIUM,10.0,True,Alpine,0 days 02:21:31.952000,2023-09-03 14:22:32.997,1,16.0,False,,False,True
0 days 02:24:24.723000,GAS,10,86.425,42.0,3.0,,,28.346,29.611,28.468,0 days 02:23:26.654000,0 days 02:23:56.265000,0 days 02:24:24.733000,308.0,308.0,305.0,313.0,False,MEDIUM,11.0,True,Alpine,0 days 02:22:58.298000,2023-09-03 14:23:59.343,1,16.0,False,,False,True
